# Sovereign default / restructuring events from the Bank of Canada CRAG
# database. Auto-generated by scripts/fetch_crag_defaults.py.
# Schema matches what backend/credit_default/defaults.py expects.
iso3,start_year,end_year,event_type,instrument,source,notes
TCD,2016,,paris_club,paris_club,CRAG,BoC creditor: China
TCD,1970,1970,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
TCD,1972,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
TCD,2014,2015,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
TCD,2018,2018,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
TCD,2021,,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
TCD,1970,2013,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
TCD,2023,,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
TCD,1982,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
CHL,1965,1965,paris_club,paris_club,CRAG,BoC creditor: Paris Club
